,url,category
1497857,http://www.njgenerals.com/,Sports
1506285,http://www.petecowen.com,Sports
1483067,http://p218.ezboard.com/bgaitedhorsesense,Sports
1556203,http://www.usdbf.org/,Sports
1553395,http://www.aurora.edu/athletics/track-m/,Sports
1511670,http://sports.yahoo.com/nhl/teams/njd/,Sports
1548316,http://aupanthers.cstv.com/sports/w-softbl/adel-w-softbl-body.html,Sports
1536161,http://www.ronaldinhostyle.blogspot.com/,Sports
1528709,http://half-mind.com/contactsnew/p_list1.php?state=me,Sports
1552389,http://daytona.embryriddlesports.com/sportselect.dbml?db_oem_id=11500&amp;key=&amp;spid=4478&amp;spsid=47704,Sports
1486519,http://www.lyndhurststud.com/,Sports
1479308,http://www.surreyleague.co.uk/,Sports
1537477,http://www.fanbase-links.co.uk/bradford_city_football_links.html,Sports
1535649,http://www.xlr8soccer.org/,Sports
1518575,http://www.kingofthecage.com,Sports
1490696,http://www.heikesquarterhorses.com/,Sports
1489707,http://www.christinepicavet.com/,Sports
1489969,http://www.winterfieldfarms.com,Sports
1467938,http://www.west-point.org/academy/basketball-net/,Sports
1508747,http://friars.cstv.com/sports/w-fieldh/prov-w-fieldh-body.html,Sports
1494428,http://msn.foxsports.com/cfb/team/eastern-michigan-eagles-football,Sports
1523382,http://www.acespeedway.com/,Sports
1527647,http://www.dallasrunningclub.com/201dir/,Sports
1525148,http://www.lvtriclub.com,Sports
1526430,http://www.directoryofsport.com/,Sports
1483697,http://www.buckeyewcf.com/,Sports
1556472,http://www.indyrowing.org/,Sports
1464086,http://www.strikethree.com/,Sports
1476290,http://www.waleswoodcricketclub.org.uk/,Sports
1478733,http://www.belfastbicycleclub.org/,Sports
1484866,http://www.caribepasofinos.com,Sports
1548462,http://www.pitt.edu/~upgncaa/html/_softball/softball.html,Sports
1560878,http://www.catamounttrail.org/,Sports
1499307,http://www.ashbyrfc.com/,Sports
1541899,http://www.fchd.info/watford.htm,Sports
1471087,http://sports.yahoo.com/ncaaw/teams/mav/,Sports
1468687,http://www.alma.edu/athletics/mens/basketball,Sports
1464990,http://quadcities.riverbandits.milb.com/index.jsp?sid=t565,Sports
1521103,http://www.longislandjam.com/,Sports
1528369,http://www.turpinrunning.com/,Sports
1552327,http://sienaheights.edu/track.aspx,Sports
1510085,http://nav.webring.com/cgi-bin/navcgi?ring=ahl_east;list,Sports
1535726,http://player-art.com/forum/,Sports
1474413,http://www.pba.com/regional/,Sports
1486277,http://www.carvinscovestables.com/,Sports
1497924,http://www.buffalogladiators.com/,Sports
1519457,http://www.shioiskajukenbo.com,Sports
1546107,http://www.yellowjersey.co.uk/leaguenews.aspx?leagueid=15,Sports
1478805,http://www.midhudsonbicycle.org/,Sports
1466937,http://athletics.cu-portland.edu/mbasketball/,Sports
1508684,http://www.allyad.com/nshc/,Sports
1526226,http://www.explosiveperformance.com/,Sports
1555033,http://vbconsult.tripod.com/bumpsetspike/,Sports
1463603,http://www2.clarku.edu/athletics/varsity/baseball/,Sports
1557427,http://www.collegeswimming.com/,Sports
1498197,http://www.lzflames.org/,Sports
1519576,http://www.sasdkempo.com,Sports
1471689,http://sports.yahoo.com/ncaaw/teams/yaa/,Sports
1547819,http://www.carmarthentownafc.net/,Sports
1525542,http://www.nationalpaintballgames.co.uk/,Sports
1546248,http://www.soccerway.com/national/georgia/first,Sports
1536045,http://www.westhamiltonufc.netfirms.com/,Sports
1486896,http://www.geocities.com/pleasanthillranch/,Sports
1477017,http://home.planet.nl/~vanas032/index1.html,Sports
1469858,http://www.softlab.ntua.gr/~kkarpou/drazen.html,Sports
1475669,http://bigbendcricketleague.dyndns.org/,Sports
1501953,http://www.thethistlegolfers.co.uk/,Sports
1553130,http://www.albright.edu/athletics/track.html,Sports
1488103,http://freewebs.com/kaylieshorseworld/,Sports
1474451,http://www.lamonbrewster.com/,Sports
1526597,http://www.thesportscritics.com/,Sports
1484773,http://www.moundsviewstables.com,Sports
1502950,http://www.kirriemuirgolfclub.co.uk/,Sports
1522698,http://www.renegades.itgo.com/,Sports
1509670,http://www.mkkings.co.uk/,Sports
1503057,http://www.penrhosgolf.co.uk,Sports
1547295,http://web.tampabay.rr.com/dhendry/rangers/sld001.htm,Sports
1556400,http://schoolweb.rgsw.org.uk/rowing/,Sports
1562383,http://www.vcw-wrestling.com/,Sports
1483099,http://www.gypsyhorseinternational.com/,Sports
1475445,http://www.varsityedge.com/,Sports
1551002,http://www.cuchicago.edu/athletics/men/tennis/index.asp,Sports
1465973,http://www.cstone.net/~dnkevans/,Sports
1517583,http://www.geocities.com/yunhsinyoung/,Sports
1464973,http://www.daytondragons.com/,Sports
1465136,http://slam.canoe.ca/slam/baseball/ottawa/home.html,Sports
1506943,http://vandy.bemidjigolf.com,Sports
1503138,http://www.goprolink.com,Sports
1539051,http://www.harrowboro.co.uk/,Sports
1499896,http://mbarugby.mcgill.ca/,Sports
1484178,http://www.rainmorgans.com/,Sports
1482616,http://www.theitguy.ca/hyjakfarms,Sports
1471713,http://sportsillustrated.cnn.com/basketball/college/women/teams/lau/,Sports
1544497,http://www.steetonafc.co.uk/,Sports
1530761,http://www.phoenixsynchro.com/,Sports
1490595,http://www.freewebs.com/westernperformanceclub/,Sports
1506327,http://www.firstteesnoco.com/,Sports
1470947,http://www.usatoday.com/sports/basketba/skw/india/skwee04.htm,Sports
1562506,http://www.wwe.com/superstars/divas/,Sports
1462027,http://www.shooterschoice.com/colbyclub/colbyclubstart.htm,Sports
1511810,http://msn.foxsports.com/nhl/team?statsid=16,Sports
1492456,http://www.hookedonfencing.org/,Sports
1513802,http://www.laser-flash.com,Sports
1475979,http://www.dorridgecc.org.uk/,Sports
1478875,http://www.nbwclub.org/,Sports
1473243,http://www.angelfire.com/mi2/katvic/shock.html,Sports
1489228,http://angusvalleystables.com,Sports
1526157,http://www.geocities.com/timberwolf_paintball_team/timberwolf.html,Sports
1519345,http://www.zenko.org,Sports
1461787,http://soarteam.murphyslawfirm.net,Sports
1525594,http://www.towerpaintball.com,Sports
1504745,http://www.maplewoodgolfresort.com,Sports
1513170,https://www.hvcc.edu/athletics/lacrosse/index.html,Sports
1524157,http://www.ruts.org/,Sports
1466877,http://www.godiggers.com/mensbb/mensbb.html,Sports
1477509,http://www.alsbicycles.com/,Sports
1509541,http://www.geocities.com/colosseum/track/6674/,Sports
1462182,http://www.donnsports.com/abl/,Sports
1503842,http://www.bluefoxent.com/,Sports
1537670,http://www.buckfastleighrangers.co.uk/football/football_home.htm,Sports
1483452,http://www.sonsofthewindfarm.com/,Sports
1508014,http://utahutes.cstv.com/sports/w-gym/utah-w-gym-body.html,Sports
1504433,http://www.mulberryhills.com/,Sports
1475611,http://www.commonwealth-cc.org/,Sports
1535157,http://www.eteamz.com/ziafc/,Sports
1529177,http://www.baa.org/,Sports
1523334,http://www.tonopahspeedway.com/,Sports
1506201,http://www.pelzgolf.com,Sports
1463271,http://www.lonestarconference.org/sports/base/index,Sports
1471638,http://www.ysu.edu/sports/womens_bball/index.htm,Sports
1501237,http://www.myrounds.com/,Sports
1548684,http://www.morris.umn.edu/athletics/womens/softball/,Sports
1543739,http://pudsey2005fc.intheteam.com/,Sports
1546778,http://www.soccerway.com/national/netherlands/first,Sports
1488483,http://www.colorigination.com/,Sports
1507759,http://www.gatorzone.com/gymnastics/index.php,Sports
1557536,http://www.b-k-ind.com/,Sports
1498557,http://bcfooty.com,Sports
1518387,http://www.pmabedfordhills.com/,Sports
1504272,http://www.greathopegolf.com/,Sports
1549306,http://www.bermudasquash.com,Sports
1550135,http://www.boltonhandball.org.uk,Sports
1539401,http://www.football.co.uk/kettering_town/index.shtml,Sports
1548533,http://wwwfac.worcester.edu/athletic/homepages/teams/softball.htm,Sports
1471141,http://sportsillustrated.cnn.com/basketball/college/women/teams/maq/,Sports
1470771,http://www.cui.edu/athletics/women/basketball/,Sports
1516701,http://www.freewebs.com/kenyukan/,Sports
1475114,http://www.nba.com/spurs/dance/,Sports
1531366,http://rollaramaskatingcenter.com/,Sports
1488348,http://www.racingvictoria.net.au,Sports
1551572,http://www.geocities.com/marypierceonline/,Sports
1474707,http://legacycheer.com,Sports
1525011,http://www.members.tripod.com/triathlonclydesdale/,Sports
1471626,http://www.usatoday.com/sports/basketba/skw/midwest/skwbb07.htm,Sports
1562070,http://www.geocities.com/beatricegoffin/,Sports
1560053,http://www.blueangelsnow.com/,Sports
1561118,http://summitnet.com/,Sports
1473954,http://www.romfordbc.netfirms.com/,Sports
1545496,http://www.iselodgefc.bravehost.com/,Sports
1480547,http://www.westcoastdarts.homestead.com/index.html,Sports
1522149,http://www.sno-drift.org/,Sports
1494891,http://www.fcsmatchups.com,Sports
1490767,http://www.grimshawstables.com,Sports
1504619,http://www.ironhorsemt.com/,Sports
1494133,http://www.langland.org/iowa-hawkeye/webring.asp,Sports
1502680,http://www.cherryburtongolfclub.co.uk/,Sports
1497299,http://www1.clubrunner.ca/crgeneric/cprg/home/homed.asp?cid=100410,Sports
1479318,http://www.kesterton.demon.co.uk/mtb/open.htm,Sports
1511240,http://www.freewebs.com/mats_sundin/,Sports
1522974,http://www.btinternet.com/~keneth.foat/greenmotorsport/,Sports
1547153,http://www.darkdreamstealer.pwp.blueyonder.co.uk/hearts_page.html,Sports
1473044,http://www.centre.edu/web/athletics/basketball_w/,Sports
1529928,http://www.concretedisciples.com/skateparksdb/skateparks.php,Sports
1465550,http://www.redsoxdiehard.com/players/fisk.html,Sports
1543577,http://www.saracensfc.com/,Sports
1473538,http://www.nysbasketball.net,Sports
1514487,http://www.birankai.org/,Sports
1494383,http://www.irishsportsreport.com/,Sports
1536790,http://www.arleseyathleticfc.com/,Sports
1545073,http://www.vitalfootball.co.uk/premierleague.asp,Sports
1510877,http://sportsillustrated.cnn.com/hockey/nhl/players/542/,Sports
1475783,http://tatura.cricketvictoria.com.au/,Sports
1559500,http://nocacurling.tripod.com/,Sports
1477370,http://www.cycle-fit.net,Sports
1471090,http://hurricanesports.cstv.com/sports/w-baskbl/mifl-w-baskbl-body.html,Sports
1466599,http://www.aei.org/publications/pubid.16619filter.all/pub_detail.asp,Sports
1531554,http://au.geocities.com/bm_soccer/bmsc_home.html,Sports
1548349,http://www.uamont.edu/athletics/softball/softball.htm,Sports
1499210,http://www.aireboroughrufc.org/,Sports
1474140,http://www.bowl-nj.com/,Sports
1489700,http://www.geocities.com/equineportraits/,Sports
1500138,http://www.crumlinrfc.co.uk/,Sports
1474148,http://www.hamptonsweb.com/sports/bowling.htm,Sports
1543610,http://www.mountfc.com/,Sports
1561799,http://www.geocities.com/puff_dog_da_pyro/mainpage.html,Sports
1500764,http://en.wikipedia.org/wiki/2007_rugby_world_cup,Sports
1492253,http://www.sallecoton.com/,Sports
1557650,http://www.unfospreys.com/index.aspx?path=wswim&amp;,Sports
1511181,http://www.geocities.com/landiep_84/tommysalo.html,Sports
1464681,http://www.topix.com/mlb/oakland-athletics,Sports
1485958,http://canabian.hypermart.net,Sports
1492123,http://swordforum.com/ssi/,Sports
1484867,http://pintopasofinos.homestead.com/trademarkhtml.html,Sports
1531304,http://www.empirespeed.com/,Sports
1486774,http://www.eewps.com/,Sports
1536729,http://www.oldfootballshirts.com/old-accrington-stanley-football-shirts-tid70.html,Sports
1543619,http://irishcentre.intheteam.com/,Sports
1467332,http://www.sportsline.com/u/basketball/college/conferences/bsky/mbn.htm,Sports
1549564,http://www.davedraper.com/,Sports
1559010,http://www28.brinkster.com/forwaterpolo/,Sports
1489055,http://www.golden-castle.co.uk/,Sports
1519781,http://www.mainefamilyracing.com/,Sports
1533517,http://www.tricitysra.org,Sports
1520957,http://www.geocities.com/ok1stop/index.html,Sports
1524749,http://sidewinders.com.au,Sports
1542965,http://full-time.thefa.com/index.do?leagueid=4001526,Sports
1551898,http://www.baghdatis.net/,Sports
1471313,http://sports.excite.com/wcbk/teams/116/index.html,Sports
1471829,http://sports.excite.com/wcbk/teams/146/index.html,Sports
1494573,http://msn.foxsports.com/cfb/team/oregon-state-beavers-football,Sports
1526710,http://neswsports.com,Sports
1530073,http://disney.go.com/disneylive/highschoolmusical/,Sports
1558089,http://www.lutonswimmingclub.org.uk/,Sports
1505458,http://www.westernlakes.com/,Sports
1501642,http://www.goasu.com/sportselect.dbml?db_oem_id=21500&amp;spid=12817&amp;key=,Sports
1478285,http://www.mtb-amputee.com/,Sports
1486337,http://www.swordlestown.com/,Sports
1505295,http://www.slcountygolf.slco.org/,Sports
1480675,http://rgvtda.com,Sports
1555864,http://www.penrodscanoe.com/,Sports
1465519,http://www.angelfire.com/mo3/2cute4drew/index.html,Sports
1561510,http://www.iglu.com,Sports
1524207,http://www.monstermotocross.com/motocross-talk/,Sports
1516090,http://www.aakfgreatlakes.com,Sports
1529963,http://www.688skatepark.com/,Sports
1554370,http://carsonnewmaneagles.cstv.com/sports/w-volley/cars-w-volley-body.html,Sports
1533955,http://www.rampagefc.com/,Sports
1480095,http://mikven.tripod.com/austriawebpage.htm,Sports
1520545,http://www.thechequeredblag.com/,Sports
1475280,http://cornellsun.com/section/sports,Sports
1499742,http://www.sport.ca/team/index.php?team=1816,Sports
1544112,http://www.sevenoaksleague.net/,Sports
1485869,http://www.geocities.com/ducklabsclassicshetlands/,Sports
1464133,http://cactus-league.com/,Sports
1540035,http://www.marinefc.com/,Sports
1475863,http://www.banburycricketclub.co.uk/,Sports
